clients,cache_mode,update_body_bytes,artifact_bytes,manifest_ms,read_ms,hash_ms,parse_ms,aggregate_ms,checkpoint_ms,detection_ms,challenge_package_ms,verification_ms,total_ms,cpu_ms,local_throughput_mib_s,verdict,challenge_hash,repetition
100,warm,10485760,1048598300,0.17937,136.825344,635.76291,174.087412,210.974543,16.167074,0.000529,0.0,1173.9971819999998,1176.857326,1176.573373,849.7387447433504,UPHELD,,0
100,warm,10485760,1048598300,0.180605,127.910865,625.229429,172.233067,209.977883,15.740509,0.000468,0.018861,1151.272826,1154.009085,1154.002461,866.5627332884089,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,1
100,warm,10485760,1048598300,0.181572,126.605933,599.650768,165.883645,202.317414,18.319787,0.000741,0.0,1112.95986,1115.788147,1115.775879,896.2465407308686,UPHELD,,2
100,warm,10485760,1048598300,0.185596,130.82209,637.69966,169.186318,211.732335,15.934121,0.000532,0.021047,1165.5606520000001,1168.338013,1168.27596,855.9348885426155,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,3
100,warm,10485760,1048598300,0.22767,131.170979,618.239734,171.082084,208.777895,16.030366,0.000492,0.0,1145.52922,1148.304584,1147.240291,870.8676085344757,UPHELD,,4
100,warm,10485760,1048598300,0.20098,127.955685,612.395891,167.176244,205.434271,15.574267,0.000415,0.017317,1128.737753,1131.41392,1131.411346,883.868626026146,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,5
100,warm,10485760,1048598300,0.176123,124.552449,574.215581,160.781822,199.091501,15.101089,0.000636,0.0,1073.919201,1076.477104,1076.459825,928.9758818105395,UPHELD,,6
100,warm,10485760,1048598300,0.179691,126.482382,579.288332,163.179525,205.7641,17.516759,0.000832,0.03025,1092.4116210000002,1095.294465,1095.227335,913.0159047569512,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,7
100,warm,10485760,1048598300,0.488308,128.983817,600.088586,166.424023,206.882435,15.172673,0.000538,0.0,1118.04038,1121.064895,1120.182314,892.0279917758515,UPHELD,,8
100,warm,10485760,1048598300,0.174102,125.05412,567.902292,162.373133,202.97145,15.0413,0.000667,0.020681,1073.5170640000001,1076.277844,1076.251326,929.1478706099388,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,9
100,warm,10485760,1048598300,0.174454,130.305007,631.376872,174.025263,211.990086,17.666883,0.00086,0.0,1165.5394250000002,1168.38513,1168.373149,855.9003715985805,UPHELD,,10
100,warm,10485760,1048598300,0.183919,136.142222,666.960323,189.029144,223.417821,16.244495,0.000503,0.018672,1231.978427,1234.953306,1234.767974,809.7644356905392,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,11
100,warm,10485760,1048598300,0.217253,137.108873,651.279846,184.654713,224.415784,15.450764,0.000657,0.0,1213.12789,1216.409877,1215.53267,822.1088021774225,UPHELD,,12
100,warm,10485760,1048598300,0.180801,141.706154,704.46162,200.706384,240.531072,16.061367,0.000784,0.019672,1303.6481820000001,1307.187542,1303.137907,765.0174399667403,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,13
100,warm,10485760,1048598300,0.1768,129.559033,621.136897,173.340487,209.260313,17.748073,0.000781,0.0,1151.222384,1154.293974,1153.97958,866.3488586636734,UPHELD,,14
100,warm,10485760,1048598300,0.244516,150.463494,709.556215,207.894898,244.074343,16.582169,0.000553,0.017763,1328.816188,1332.42514,1330.331952,750.5271680308102,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,15
