clients,cache_mode,update_body_bytes,artifact_bytes,artifact_mib,bandwidth_mbps,watchers,dispute_rate,local_monitor_ms,local_monitor_p95_ms,projected_transfer_ms,overlap_projection_ms,serial_projection_ms,overlap_p95_projection_ms,serial_p95_projection_ms,overlap_window_blocks,serial_window_blocks,overlap_p95_window_blocks,serial_p95_window_blocks,challenge_package_ms_per_fault,independent_resolver_replay_ms_per_fault,one_watcher_expected_work_ms_per_round,resolver_expected_work_ms_per_round,federation_expected_local_work_ms_per_round,federation_serial_acquisition_plus_local_ms_per_round
100,fadvise,1048576,104879600,100.02098083496094,100.0,3,0.05,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98649205,3.7534469,504.7112599500001,25675.815259950003
100,fadvise,1048576,104879600,100.02098083496094,100.0,3,0.1,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98732360000002,7.5068938,508.46553840000007,25679.569538400003
100,fadvise,1048576,104879600,100.02098083496094,1000.0,1,0.0,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98566050000002,0.0,166.98566050000002,1006.0224605
100,fadvise,1048576,104879600,100.02098083496094,1000.0,1,0.01,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98582681000002,0.7506893800000001,167.73651619000003,1006.77331619
100,fadvise,1048576,104879600,100.02098083496094,1000.0,1,0.05,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98649205,3.7534469,170.73993895,1009.77673895
100,fadvise,1048576,104879600,100.02098083496094,1000.0,1,0.1,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98732360000002,7.5068938,174.49421740000003,1013.5310174
100,fadvise,1048576,104879600,100.02098083496094,1000.0,2,0.0,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98566050000002,0.0,333.97132100000005,2012.044921
100,fadvise,1048576,104879600,100.02098083496094,1000.0,2,0.01,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98582681000002,0.7506893800000001,334.72217669,2012.79577669
100,fadvise,1048576,104879600,100.02098083496094,1000.0,2,0.05,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98649205,3.7534469,337.72559945000006,2015.7991994499998
100,fadvise,1048576,104879600,100.02098083496094,1000.0,2,0.1,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98732360000002,7.5068938,341.4798779,2019.5534779
100,fadvise,1048576,104879600,100.02098083496094,1000.0,3,0.0,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98566050000002,0.0,500.9569815000001,3018.0673815
100,fadvise,1048576,104879600,100.02098083496094,1000.0,3,0.01,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98582681000002,0.7506893800000001,501.7078371900001,3018.81823719
100,fadvise,1048576,104879600,100.02098083496094,1000.0,3,0.05,166.98566050000002,179.28854354999999,839.0368,839.0368,1006.0224605,839.0368,1018.32534355,1,2,1,2,0.016631,75.068938,166.98649205,3.7534469,504.7112599500001,3021.82165995
