clients,cache_mode,update_body_bytes,artifact_bytes,watchers,dispute_rate,bandwidth_mbps,projected_transfer_ms_per_watcher,measured_local_verification_ms_per_watcher,challenge_package_ms_per_fault,system_watcher_work_ms_per_round
100,warm,1048576,104879600,2,0.1,100.0,8390.368,105.54913,0.018494,16991.8361094
100,warm,1048576,104879600,3,0.0,100.0,8390.368,105.54913,0.018494,25487.751389999998
100,warm,1048576,104879600,3,0.01,100.0,8390.368,105.54913,0.018494,25487.751574939997
100,warm,1048576,104879600,3,0.05,100.0,8390.368,105.54913,0.018494,25487.7523147
100,warm,1048576,104879600,3,0.1,100.0,8390.368,105.54913,0.018494,25487.753239399997
100,warm,1048576,104879600,1,0.0,1000.0,839.0368,105.54913,0.018494,944.58593
100,warm,1048576,104879600,1,0.01,1000.0,839.0368,105.54913,0.018494,944.58611494
100,warm,1048576,104879600,1,0.05,1000.0,839.0368,105.54913,0.018494,944.5868547
100,warm,1048576,104879600,1,0.1,1000.0,839.0368,105.54913,0.018494,944.5877793999999
100,warm,1048576,104879600,2,0.0,1000.0,839.0368,105.54913,0.018494,1889.17186
100,warm,1048576,104879600,2,0.01,1000.0,839.0368,105.54913,0.018494,1889.17204494
100,warm,1048576,104879600,2,0.05,1000.0,839.0368,105.54913,0.018494,1889.1727847
100,warm,1048576,104879600,2,0.1,1000.0,839.0368,105.54913,0.018494,1889.1737094
100,warm,1048576,104879600,3,0.0,1000.0,839.0368,105.54913,0.018494,2833.7577899999997
100,warm,1048576,104879600,3,0.01,1000.0,839.0368,105.54913,0.018494,2833.7579749399997
100,warm,1048576,104879600,3,0.05,1000.0,839.0368,105.54913,0.018494,2833.7587146999995
100,warm,1048576,104879600,3,0.1,1000.0,839.0368,105.54913,0.018494,2833.7596393999997
100,warm,1048576,104879600,1,0.0,10000.0,83.90368,105.54913,0.018494,189.45281
100,warm,1048576,104879600,1,0.01,10000.0,83.90368,105.54913,0.018494,189.45299494
100,warm,1048576,104879600,1,0.05,10000.0,83.90368,105.54913,0.018494,189.4537347
100,warm,1048576,104879600,1,0.1,10000.0,83.90368,105.54913,0.018494,189.4546594
100,warm,1048576,104879600,2,0.0,10000.0,83.90368,105.54913,0.018494,378.90562
100,warm,1048576,104879600,2,0.01,10000.0,83.90368,105.54913,0.018494,378.90580494
100,warm,1048576,104879600,2,0.05,10000.0,83.90368,105.54913,0.018494,378.9065447
100,warm,1048576,104879600,2,0.1,10000.0,83.90368,105.54913,0.018494,378.9074694
100,warm,1048576,104879600,3,0.0,10000.0,83.90368,105.54913,0.018494,568.35843
100,warm,1048576,104879600,3,0.01,10000.0,83.90368,105.54913,0.018494,568.35861494
100,warm,1048576,104879600,3,0.05,10000.0,83.90368,105.54913,0.018494,568.3593547
100,warm,1048576,104879600,3,0.1,10000.0,83.90368,105.54913,0.018494,568.3602794
100,warm,10485760,1048598300,1,0.0,100.0,83887.86399999999,1186.170627,0.021047,85074.03462699999
100,warm,10485760,1048598300,1,0.01,100.0,83887.86399999999,1186.170627,0.021047,85074.03483746998
100,warm,10485760,1048598300,1,0.05,100.0,83887.86399999999,1186.170627,0.021047,85074.03567934998
100,warm,10485760,1048598300,1,0.1,100.0,83887.86399999999,1186.170627,0.021047,85074.03673169999
100,warm,10485760,1048598300,2,0.0,100.0,83887.86399999999,1186.170627,0.021047,170148.06925399997
100,warm,10485760,1048598300,2,0.01,100.0,83887.86399999999,1186.170627,0.021047,170148.06946446997
100,warm,10485760,1048598300,2,0.05,100.0,83887.86399999999,1186.170627,0.021047,170148.07030634998
100,warm,10485760,1048598300,2,0.1,100.0,83887.86399999999,1186.170627,0.021047,170148.07135869996
100,warm,10485760,1048598300,3,0.0,100.0,83887.86399999999,1186.170627,0.021047,255222.10388099996
100,warm,10485760,1048598300,3,0.01,100.0,83887.86399999999,1186.170627,0.021047,255222.10409146996
100,warm,10485760,1048598300,3,0.05,100.0,83887.86399999999,1186.170627,0.021047,255222.10493334997
100,warm,10485760,1048598300,3,0.1,100.0,83887.86399999999,1186.170627,0.021047,255222.10598569995
100,warm,10485760,1048598300,1,0.0,1000.0,8388.7864,1186.170627,0.021047,9574.957027
100,warm,10485760,1048598300,1,0.01,1000.0,8388.7864,1186.170627,0.021047,9574.95723747
100,warm,10485760,1048598300,1,0.05,1000.0,8388.7864,1186.170627,0.021047,9574.95807935
100,warm,10485760,1048598300,1,0.1,1000.0,8388.7864,1186.170627,0.021047,9574.9591317
